NP,CLAVE,NOMBRE
288,6033100021,ESPECIALIDAD EN DERECHO DE LA PROPIEDAD INDUSTRIAL E INTELECTUAL
289,6033100022,ESPECIALIDAD EN DERECHO DE LA PROPIEDAD INTELECTUAL
290,6033100023,ESPECIALIDAD EN DERECHO DEL TRABAJO
291,6033100024,ESPECIALIDAD EN DERECHO FAMILIAR
292,6033100025,ESPECIALIDAD EN DERECHO FINANCIERO
293,6033100026,ESPECIALIDAD EN DERECHO FISCAL
294,6033100027,ESPECIALIDAD EN DERECHO INTERNACIONAL
295,6033100028,ESPECIALIDAD EN DERECHO LABORAL
296,6033100029,ESPECIALIDAD EN DERECHO MERCANTIL
297,6033100030,ESPECIALIDAD EN DERECHO NOTARIAL
298,6033100031,ESPECIALIDAD EN DERECHO PENAL
299,6033100032,ESPECIALIDAD EN DERECHO PENAL SUSTANTIVO
300,6033100033,ESPECIALIDAD EN DERECHO PENAL Y CRIMINOLOGÍA
301,6033100034,ESPECIALIDAD EN DERECHO PRIVADO
302,6033100035,ESPECIALIDAD EN DERECHO PROCESAL
303,6033100036,ESPECIALIDAD EN DERECHO PROCESAL ELECTORAL
304,6033100037,ESPECIALIDAD EN DERECHO PROCESAL PENAL
305,6033100038,"ESPECIALIDAD EN DERECHO PROCESAL, CIVIL Y MERCANTIL"
306,6033100039,ESPECIALIDAD EN DERECHO PÚBLICO
307,6033100040,ESPECIALIDAD EN DERECHO TRIBUTARIO
308,6033100041,ESPECIALIDAD EN DERECHO Y PSICOLOGÍA DE LA FAMILIA
309,6033100042,ESPECIALIDAD EN EL SISTEMA DE JUSTICIA PARA ADOLESCENTES
310,6033200001,ESPECIALIDAD EN GRAFOSCOPÍA
311,6033200002,"ESPECIALIDAD EN GRAFOSCOPÍA, DOCUMENTOSCOPÍA Y DACTILOSCOPIA"
312,6033100043,ESPECIALIDAD EN IMPARTICIÓN Y ADMINISTRACIÓN DE JUSTICIA
313,6033100044,ESPECIALIDAD EN INSTITUCIONES DE DERECHO ADMINISTRATIVO
314,6033100045,ESPECIALIDAD EN INSTITUCIONES DE DERECHO FINANCIERO
315,6033100046,ESPECIALIDAD EN INSTITUCIONES DE DERECHO MERCANTIL
316,6033100047,ESPECIALIDAD EN NOTARIA PÚBLICA
317,6033100048,ESPECIALIDAD EN PREVENCIÓN DEL DELITO Y DERECHOS HUMANOS
318,6033100049,ESPECIALIDAD EN PROCURACIÓN DE JUSTICIA
